date,type,title
2009-05-04T16:32:49Z,blogpost,Aussie Posse | Australian Fashion Week Roundup
2009-05-04T16:32:49Z,blogpost,Aussie Posse | Australian Fashion Week Roundup
2009-02-18T14:04:34Z,blogpost,"Here a Fashion Tweet, There a Fashion Tweet"
2009-09-15T00:00:00Z,article,A Movie Reveals a Lot by Eliminating the Fashion
2009-08-04T00:00:00Z,article,Spain's Gutsy Grandfather of Fashion
2009-11-19T00:00:00Z,article,"Of the Moment, in a Moment"
2009-06-24T13:57:39Z,blogpost,"Milan Fashion | Life's a Movie. Fashion, Too."
2009-09-24T00:00:00Z,article,All That's Missing Is Camouflage
2009-03-05T00:00:00Z,article,What the Fashion Seers Didn't See Coming
2009-10-11T00:00:00Z,article,Spectra
2009-03-11T00:00:00Z,article,European Buy Low on U.S. Lists
2009-09-16T00:00:00Z,article,CITY ROOM  BLOGGING AT NYTIMES.COM/CITYROOM.
2009-02-05T00:00:00Z,article,"Hello Kitty And Barbie, Round 1"
2009-02-16T20:42:35Z,blogpost,Marc Jacobs: Just Fashion
2009-03-14T00:00:00Z,article,An Eye For Trash With Panache
2009-06-21T00:00:00Z,article,Project Fun Day: No Fashion Talk
2009-05-07T00:00:00Z,article,The Blue Book Of Fashion
2009-03-08T00:00:00Z,article,A Fashionable Jeweler With a Conscience
2009-09-24T00:00:00Z,article,Corrections
2009-04-16T00:00:00Z,article,"TV Royalty, But No Longer A Housewife"
2009-11-22T00:00:00Z,article,Hue
2009-12-13T00:00:00Z,article,Standouts
2009-11-15T00:00:00Z,article,Colors
2009-11-29T00:00:00Z,article,Pre-Turkey
2009-09-13T00:00:00Z,article,"Richard Merkin, 70, Painter, Illustrator and Fashion Plate"
2009-09-13T00:00:00Z,article,Catwalk
2009-09-14T00:00:00Z,article,Young Bloggers Have Ear of Fashion Heavyweights
2009-12-31T00:00:00Z,article,Designing To an Afro Beat
2009-10-20T13:17:23Z,blogpost,Invitations Only | Milan and Paris Fashion Weeks
2009-09-10T17:35:13Z,blogpost,Showtime | Fashion Yourself Cultured
2009-05-19T16:14:37Z,blogpost,"To Stimulate Retail, a Fashion Night Out"
2009-05-19T16:14:37Z,blogpost,"To Stimulate Retail, a Fashion Night Out"
2009-04-09T00:00:00Z,article,Still Dressing for Stevie
2009-02-19T12:56:50Z,blogpost,Fashion Editor's Tip | Kushyfoot Socks
2009-02-20T18:00:09Z,blogpost,The Week in Pictures for Feb. 20
2009-08-27T00:00:00Z,article,Returnees and Spoofs
2009-06-22T00:00:00Z,article,"From South Korea, Innovation in Menswear"
2009-07-09T11:33:20Z,blogpost,Ze Men's Fashion | Brüno's Picks
2009-02-20T16:55:34Z,blogpost,Bleak Job Picture Is Another Side of Fashion
2009-10-20T00:00:00Z,article,'Affordable Luxury' Bucks the Crisis
2009-11-18T00:00:00Z,article,My Techno: A Designer Viewpoint
2009-11-17T00:00:00Z,article,From Couture -- to Conversation
2009-09-20T00:00:00Z,article,The Look
2009-06-20T00:00:00Z,article,Proenza Schouler Injects a Bit of Cool
2009-09-17T00:00:00Z,article,Arts and Crafts-With the Emphasis on the Latter
2009-01-22T14:45:58Z,blogpost,Scorecard | Women's Spring Fashion 2009
2009-10-01T00:00:00Z,article,Playing Dress Up For Keeps
2009-12-13T00:00:00Z,article,Queen for a Day In Rented Finery
2009-04-01T14:15:54Z,blogpost,Topshop in New York
2009-01-20T00:00:00Z,article,"In Milan, Models Still Come in Only One Color"
2009-09-24T00:00:00Z,article,Corrections
2009-09-15T11:12:48Z,blogpost,"Two Fashion Stalwarts, Reared on Same Bronx Catwalk"
2009-11-05T00:00:00Z,article,Fresh Idea From Recycle Bin
2009-11-18T00:00:00Z,article,Berlin's Personal Ideas on Technology
2009-09-13T00:00:00Z,article,Watch This Face
2009-12-06T00:00:00Z,article,ALSO OUT THIS WEEK
2009-06-16T00:00:00Z,article,Reality Check -- or Last Resort?
2009-10-10T00:00:00Z,article,Designer Yamamoto Files For Bankruptcy Protection
2009-05-28T00:00:00Z,article,A Window On a Vivid Childhood
2009-09-13T00:00:00Z,article,Maybe It Lacks a Nursery?
2009-08-12T00:00:00Z,article,It Takes a Wealthy Man To Raise a French Village
2009-05-29T00:00:00Z,article,Couturier Seeks Creditor Protection
2009-09-06T00:00:00Z,article,Crimson and Green
2009-05-07T00:00:00Z,article,Always in Her Element
2009-11-19T00:00:00Z,article,"A Convergence, Somewhat Harmonic"
2009-04-30T00:00:00Z,article,It Doesn't Cost to Dream
2009-06-25T00:00:00Z,article,Irony and the Old Lady
2009-05-29T00:00:00Z,article,Lacroix Files for Bankruptcy
2009-08-13T00:00:00Z,article,Dig Out the Spandex and Feel the Burn
2009-09-23T00:00:00Z,article,Cleveland Orchestra Gets Its Toe In New York
2009-04-16T00:00:00Z,article,Riding the It Factor
2009-04-09T00:00:00Z,article,Trust Me. You'll Look Cool in This.
2009-04-12T00:00:00Z,article,'Deviates' and 'Inverts'
2009-05-07T00:00:00Z,article,Always in Her Element
2009-03-30T13:11:07Z,blogpost,"Off the Wall | Berlin Bash, in New York"
2009-10-10T00:00:00Z,article,"Open Megaphone, Insert a Foot (or Two)"
2009-09-13T00:00:00Z,article,"New York, Empire Hotel"
2009-09-27T00:00:00Z,article,Chronicle of a Changing City
2009-12-22T00:00:00Z,article,Jets' Hopes For Playoffs Are Revived But Distant
2009-12-17T00:00:00Z,article,Things Start to Stir At the Blass House
2009-11-15T00:00:00Z,article,Delicate Knee Surgery Saved Matsui's Season
2009-02-17T00:00:00Z,article,Dressing With Temptation as Your Guide
2009-02-19T00:00:00Z,article,How Much Can One Outfit Do?
2009-09-15T00:00:00Z,multimedia,Backstage Scenes 
2009-09-17T00:00:00Z,article,"A Sputter Here, a Spark There"
2009-02-17T00:00:00Z,multimedia,Fashion Week Highlights 
2009-09-18T00:00:00Z,article,"Youth Takes a Spin, Clinging Tight"
2009-09-17T00:00:00Z,article,"Stepping Out of Fashion and Into Film, Without Glancing Back"
2009-02-18T00:00:00Z,multimedia,Trendspotting: Tough Enough? 
2009-09-15T00:00:00Z,article,A Smaller Steak But No Less Sizzle
2009-02-16T00:00:00Z,multimedia,Africa in Vogue 
2009-11-19T00:00:00Z,article,Only Her Stylist Knows for Sure
2009-12-09T00:01:16Z,blogpost,Going Deep for the Cheap in New York
2009-09-09T00:00:00Z,article,Glamour Puts on a Happy Face to Attract Ads
2009-06-15T00:00:00Z,article,Dueling Discount Patriotism
2009-08-08T00:00:00Z,article,"As Mets' Season Fades, The Auditions Begin"
2009-07-17T00:00:00Z,article,Time Does Not Heal All Wounds for Mets
2009-08-27T00:00:00Z,article,Adjusting to Fit the Times
2009-05-10T00:00:00Z,article,Rodriguez's Story Will Be Told Beyond Words
2009-08-16T00:00:00Z,article,THE WEEK AHEAD | AUG. 16 - AUG. 22
2009-08-15T00:00:00Z,article,A Club's Closing: It's the Old Issue of Neighbors vs. Noise
2009-12-11T19:36:11Z,blogpost,Partying the Week Away
2009-12-20T00:00:00Z,article,"Even in a Subway Car, This Is Strange Behavior"
2009-05-21T00:00:00Z,article,Dressed For Action
2009-05-21T00:00:00Z,article,A Makeup Artist's Stardust for Everywoman
2009-02-15T00:00:00Z,article,A Balancing Act on the Web
2009-07-10T00:00:00Z,article,"In the 7th Inning, Stretch, Sure, but Don't Move"
2009-02-20T00:00:00Z,article,Forever Fashion
2009-01-11T00:00:00Z,article,THE WEEK AHEAD | JAN. 11 - JAN. 17 | Theater
2009-12-24T00:00:00Z,article,Life as a Runway: Clara Never Dressed Like that!
2009-07-06T00:00:00Z,article,"At Halfway Point, a Whole Lot of Trouble"
2009-12-06T00:00:00Z,article,Generation Gap
2009-09-27T00:00:00Z,article,THE WEEK AHEAD | SEPT. 27--OCT. 3
2009-08-16T00:00:00Z,article,Chronicle of a Changing City
2009-05-03T00:00:00Z,article,"Perez Struggles, Putting Future in Doubt"
2009-02-05T00:00:00Z,article,A Novelist's Catalog Of Lives On the Block
2009-09-06T00:00:00Z,article,Legacy of the 46 Defense
2009-05-30T00:00:00Z,article,Leader of Garment and Hotel Workers' Union Resigns
2009-10-15T00:00:00Z,article,The Chic That Began With Jeans
2009-06-01T00:00:00Z,article,Pitchers Are Keeping Hobbling Mets Steady
2009-06-11T00:00:00Z,article,Look Who's Shopping Goodwill
2009-05-05T00:00:00Z,article,An Ode to the Shooting Stars of Beauty
2009-11-25T00:00:00Z,article,"Even in Recession, Some Small Businesses Grow"
2009-05-20T08:56:38Z,blogpost,Gay Marriage Slow to Draw an Opposition in New York
2009-09-14T00:00:00Z,article,Jets Respond to the Voice of a New Era
2009-09-21T00:00:00Z,article,"Feliciano, With Low Profile, Stands Out as Mets Survivor"
2009-07-30T00:00:00Z,article,How Do You Like Me Now?
2009-10-05T00:00:00Z,article,It Was Bound to Happen: No Quarterback Goes Unpunished
2009-04-13T00:00:00Z,article,A Ban on Drooping Drawers Leads to a Legal Challenge
2009-09-10T00:00:00Z,article,One Man and His Ugly Shoes
2009-03-26T17:06:10Z,blogpost,The Fabulous Furry Mangalitsas
2009-09-24T00:00:00Z,article,"Trend of The Season, In Brief"
2009-11-14T00:00:00Z,article,"At Monmouth, Thomas Comes Close Enough to Hear Boos"
2009-08-05T00:00:00Z,article,Reyes Has Setback; Mets Add to Pain
2009-09-19T10:57:30Z,blogpost,The Saturday Word: Busy Week Prep
2009-10-21T00:00:00Z,article,Desperate Times Call for Desperate Measures
2009-01-18T00:00:00Z,article,"Dancing for Mr. B, and Everything After"
2009-09-14T00:00:00Z,article,"A Time to Sell Green, Not Greed"
2009-12-06T00:00:00Z,article,"Stolen E-Mail, Stoking the Climate Debate"
2009-10-29T00:00:00Z,article,A Campaign for Clothes by a Guy Not Wearing Any
2009-06-11T00:00:00Z,article,Resort Wear Never Rests
2009-11-27T00:00:00Z,article,On a Mission to Banish The Saggy Bottom
2009-08-04T00:00:00Z,article,"Naomi Sims, a Pioneering Cover Girl, Is Dead at 61"
2009-08-20T00:00:00Z,article,"Right Round, Baby"
2009-06-30T00:00:00Z,article,Levi's Courts the Young With a Hopeful Call
2009-09-24T00:00:00Z,article,The Mother of Reinvention
2009-05-21T00:00:00Z,article,Pricing Designer Shorts? Think Deep Pockets
2009-06-30T00:00:00Z,article,Levi’s Courts the Young With a Hopeful Call
2009-10-18T00:00:00Z,article,A House Undivided
2009-09-24T00:00:00Z,article,A Place Fit for The Boss
2009-11-09T07:30:36Z,blogpost,Ask About Entrepreneurship
2009-04-01T00:00:00Z,article,Off the Menu
2009-04-08T00:00:00Z,article,Antropov Goes Flat Out and Gives Rangers New Hope
2009-09-12T10:01:59Z,blogpost,Photos of the Moment | Jason Wu
2009-10-04T00:00:00Z,article,"Notes About Bias, From Opposite Points of View"
2009-06-30T00:00:00Z,article,Philanthropist With a Sense of Timing Raises Her Profile
2009-11-29T00:00:00Z,article,"No Autographs. Just Initials, Please."
2009-09-16T13:16:57Z,blogpost,Photos of the Moment | Philosophy
2009-09-12T12:19:45Z,blogpost,Photos of the Moment | 3.1 Phillip Lim (Men's)
2009-12-30T00:00:00Z,article,Stern Criticism Said to Be in Panel's Report on Monserrate
2009-01-26T00:00:00Z,article,'Obama Girl' Team Retools For Tech Satire
2009-08-16T00:00:00Z,article,"Interns Find a Will, a Way, a Floor"
2009-06-16T00:00:00Z,article,Upside: Owns the Street. Downside: Car Doors.
2009-06-16T00:00:00Z,article,"In Albany, Democratic Rebel Returns, Leaving Senate in a Knot"
2009-10-06T00:00:00Z,article,CITY ROOM  BLOGGING AT NYTIMES.COM/CITYROOM.
2009-01-04T00:00:00Z,article,Someone Still Has Money
2009-09-05T00:00:00Z,article,"From 12 Ropes and Bells, a River of Sound Over Wall St."
2009-08-05T00:00:00Z,article,CITY ROOM  BLOGGING AT NYTIMES.COM/CITYROOM.
2009-12-27T00:00:00Z,article,"Ice, Served Up Two Ways: Plain or Glamorous"
2009-09-14T17:07:00Z,blogpost,Photos of the Moment | Y-3
2009-09-12T15:12:51Z,blogpost,Photos of the Moment | Robert Geller
2009-03-28T00:00:00Z,article,"As State's Budget Deadline Nears, Leaders Still Far Apart on Many Details"
2009-04-22T00:00:00Z,article,Some of the Bright Lights of New York's Businesses Are Powered by Wind
2009-06-19T00:00:00Z,article,'Rye' Dispute Is Gateway To City's Past
2009-04-06T00:00:00Z,article,Forever Betty: Receptionist Bids Ta-Ta
2009-10-11T00:00:00Z,article,The Granddaddy of Them All
2009-10-01T00:00:00Z,article,A Modern Answer To the Commune
2009-09-05T00:00:00Z,article,Frolicking in a City Ankle-Deep in Pools
2009-09-11T00:00:00Z,article,ONLINE
2009-06-13T00:00:00Z,article,Families Urge Bloomberg to Save After-School Vouchers
2009-12-02T00:00:00Z,article,Following a Class Act
2009-04-06T00:00:00Z,article,"State Law to Cap Public Defenders' Caseloads, but Only in the City"
2009-08-09T00:00:00Z,article,"Party On, But No Tweets"
2009-10-19T00:00:00Z,article,Fed Up With Albany
2009-09-15T11:45:19Z,blogpost,Photo of the Moment | Thakoon
2009-09-15T17:36:58Z,blogpost,Photos of the Moment | Marc Jacobs
2009-09-17T00:00:00Z,article,Online
2009-09-14T13:45:22Z,blogpost,Photos of the Moment | Derek Lam
2009-11-19T00:00:00Z,article,It's All a Blur to Them
2009-11-11T12:55:12Z,blogpost,Answers About Entrepreneurship
2009-04-13T10:57:00Z,article,Talk to The Times: Editorial Page Editor Andrew Rosenthal
2009-02-17T00:00:00Z,article,"The Life of the Party, Imported From France"
2009-02-20T00:00:00Z,multimedia,On the Street | Gray Days 
2009-02-16T00:00:00Z,multimedia,Trendspotting | Bringing Out the Beast 
2009-02-16T00:00:00Z,article,Some Reasons to Cheer (and to Wonder)
2009-02-20T00:00:00Z,multimedia,Show Scenes
2009-02-20T00:00:00Z,multimedia,Trendspotting | Power Shoulders 
2009-02-13T00:00:00Z,multimedia,More Than Just Tents 
2009-09-23T00:00:00Z,multimedia,Life as a Runway | All That&#8217;s Missing Is Camouflage 
2009-02-03T00:00:00Z,article,A New Home for New York Fashion Week
2009-02-17T00:00:00Z,multimedia,Backstage Scenes 
2009-10-09T00:00:00Z,article,The Listings
2009-09-18T15:06:08Z,blogpost,Photos of the Moment | ThreeAsFour
2009-11-09T00:00:00Z,article,"Haute Couture, Available Through the Netflix Model"
2009-06-05T00:00:00Z,article,THE LISTINGS
2009-09-17T13:42:02Z,blogpost,Photos of the Moment | Michael Kors
2009-09-12T13:25:20Z,blogpost,Photos of the Moment | Rag & Bone
2009-09-15T16:12:16Z,blogpost,Photos of the Moment | Donna Karan
2009-10-06T12:06:40Z,blogpost,Centcom Responds to Post on Iraqi Deaths
2009-05-01T14:54:33Z,blogpost,"Answers About Poetry in Brooklyn, Part 3"
2009-09-18T11:06:34Z,blogpost,Photos of the Moment | Ralph Lauren
2009-09-18T13:54:31Z,blogpost,Photos of the Moment | Phi
2009-09-18T12:33:15Z,blogpost,Photos of the Moment | Calvin Klein
2009-01-02T00:00:00Z,article,SPARE TIMES: AROUND TOWN
2009-10-11T00:00:00Z,article,Where Layovers Can Be Turned Into Adventures
2009-09-17T17:26:39Z,blogpost,Photos of the Moment | Proenza Schouler
2009-09-13T14:02:33Z,blogpost,Photos of the Moment | Alexander Wang
2009-02-16T14:00:26Z,blogpost,Model-morphosis | Amanda Laine
2009-09-16T11:02:55Z,blogpost,Photos of the Moment | Rodarte
2009-10-11T00:00:00Z,article,Where Layovers Can Be Turned Into Adventures
2009-09-17T16:22:29Z,blogpost,Photos of the Moment | 3.1 Phillip Lim
2009-09-16T17:32:51Z,blogpost,Photos of the Moment | Narciso Rodriguez
2009-09-14T12:38:59Z,blogpost,Model-morphosis | Mathilde Frachon
2009-07-21T12:41:24Z,blogpost,Is Anorexia a Lifelong Illness?
2009-07-21T00:00:00Z,article,Prada's Brainchild Takes a New Twirl
2009-09-13T12:53:08Z,blogpost,Photos of the Moment | Ohne Titel
2009-11-13T11:21:10Z,blogpost,"Answers About Entrepreneurship, Part 2"
2009-01-30T00:00:00Z,article,"Mendelssohn Favorites Offer Precision, Grace and Grit"
2009-11-14T00:00:00Z,article,"Quite Big In Britain, Not Quite In the U.S."
2009-06-03T00:00:00Z,article,A Tour Guide Tames Lunch In Midtown
2009-11-20T00:00:00Z,article,The Listings | Nov. 20 - Nov. 26
2009-11-27T00:00:00Z,article,The Listings: Nov. 27 -- Dec. 3
2009-11-13T00:00:00Z,article,The Listings
2009-01-20T17:40:34Z,blogpost,Hope Mixes With Doubt as World Reacts
2009-08-25T00:00:00Z,article,New Rules In Wiki World
2009-10-26T00:00:00Z,article,"In Queens, Still Cultivating the Grass Roots"
2009-02-20T18:48:11Z,blogpost,Runway Looks | New York's Best Sets
2009-12-07T17:01:46Z,blogpost,Q. and A. on Obama's Afghan Plan
2009-12-09T09:49:27Z,blogpost,Oscar's New Math
2009-02-11T00:00:00Z,article,New York's Garment Industry Is Finding Its District Affordable Again
2009-12-17T00:00:00Z,article,That Hobby Looks Like A Lot of Work
2009-12-17T00:00:00Z,article,That Hobby Looks Like A Lot of Work
2009-09-13T00:00:00Z,article,Exploring New Routes To the Indies
2009-12-27T00:00:00Z,article,Bloggers Crashed Fashion's Front Row
2009-06-19T00:00:00Z,article,"Jobless Numbers Fall, But New Claims Rise"
2009-10-29T00:00:00Z,article,Preshrunk Prices
2009-02-17T12:41:18Z,blogpost,Model-Morphosis | Marc Jacobs Beauty
2009-09-16T12:29:01Z,blogpost,Model-morphosis | Katie Fogarty
2009-12-20T00:00:00Z,article,Bad Post Office. Good Post Office.
2009-09-11T18:08:03Z,blogpost,Double Dutch | Harboring Design in New Amsterdam
2009-09-17T15:36:50Z,blogpost,Photos of the Moment | Oscar de la Renta
2009-02-18T12:14:50Z,blogpost,Model-morphosis | Tao Okamoto
2009-02-13T00:00:00Z,multimedia,"Pictures of the Day, Feb. 13 "
2009-10-22T00:00:00Z,article,"No Budget, No Boundaries: It's the Real You"
2009-01-02T00:00:00Z,article,Catskill Home Prices: How Low Will They Go?
2009-03-18T12:14:42Z,blogpost,Walk-Off | Four New Catwalk Stars
2009-11-29T00:00:00Z,article,"For Madonna's Boyfriend, Fame by Association"
2009-01-31T16:17:40Z,blogpost,New G.O.P. Head Gunning for Gillibrand's Seat
2009-10-15T00:00:00Z,article,"Making Shabby Chic, Again"
2009-11-04T00:00:00Z,article,It's Nearly a Wrap for Hollywood Power Lunches at Orso
2009-09-10T00:00:00Z,article,"A Belt, a Brief, and a Man's Heart Skips a Beat"
2009-11-05T00:00:00Z,article,Restructuring Luxury At Versace
2009-08-16T00:00:00Z,article,"Glittering Potential, Shady Past"
2009-02-03T09:14:48Z,blogpost,A Crash Course for New York's Newest Senator
2009-11-04T00:00:00Z,article,Looking Beyond the City for Growth
2009-04-14T00:00:00Z,article,"Stores Fade, But Names Get New Life"
2009-12-20T00:00:00Z,article,"At 94, She's the Hot New Thing in Painting, and Enjoying It"
2009-04-16T00:00:00Z,article,It's Not Over Till the New Lady Jumps Into the Role
2009-02-20T11:44:31Z,blogpost,Model-morphosis | Hanne Gaby Odile
2009-09-17T17:12:12Z,blogpost,Model-morphosis | Oscar de la Renta Beauty
2009-02-16T20:11:45Z,blogpost,On Marc
2009-02-20T16:39:21Z,blogpost,Fashionista in Chief | Our Obama Picks
2009-09-14T15:33:50Z,blogpost,Betsey Johnson to Design Plaza Suite
2009-11-01T00:00:00Z,article,All Galleries on Deck!
2009-04-05T00:00:00Z,article,"Local Writer, Worldwide Following"
2009-05-03T00:00:00Z,article,$80 Million? Try a Tenth of That. Art's New Numbers.
2009-02-25T11:13:23Z,blogpost,NYFW Rewind | All the Way With D&A
2009-11-12T15:59:52Z,blogpost,"Sullenberger's Passengers Say He's a Hero, Despite New Book"
2009-06-28T00:00:00Z,article,Mahindra Says Wait and See
2009-09-17T18:54:21Z,blogpost,Anne on the Move | Taxi TV
2009-09-09T12:14:43Z,blogpost,Now Screening | Loic Prigent Captures Catwalk Chaos
2009-10-31T00:00:00Z,article,"Where 30 Is Ancient, Youthful at 80"
2009-02-22T00:00:00Z,article,Gray Days
2009-11-06T00:00:00Z,article,THE LISTINGS
2009-10-13T00:00:00Z,article,"As Asia's Emerging Economies Bound Ahead, Auction Houses Shift Focus"
2009-03-24T00:00:00Z,article,Where the Accent Is on Craft
2009-11-04T00:00:00Z,article,Karadzic Makes Appearance in Court
2009-09-18T13:53:00Z,blogpost,Backstage Presence | 'Greg Kessler: Fall/Winter 2009'
2009-02-04T10:47:41Z,blogpost,Stilettos & Galoshes
2009-02-19T13:36:29Z,blogpost,Model-morphosis | Vera Wang Beauty
2009-09-15T16:21:30Z,blogpost,Model-morphosis | Marc Jacobs Beauty
2009-02-21T00:00:00Z,article,ON NYTIMES.COM
2009-03-02T18:01:42Z,blogpost,"It's All About ... the '80s, Again"
2009-02-17T00:00:00Z,article,ON NYTIMES.COM
2009-10-21T17:16:34Z,blogpost,Hundreds Rally to Support Garment Center
2009-02-20T11:21:13Z,blogpost,A Gloomy Day for 'Project Runway'
2009-09-04T11:44:08Z,blogpost,Chic in Review | How Old is Rachel Zoe?
2009-09-11T10:44:32Z,blogpost,Watch This Face | Heidi Mount
2009-02-09T16:37:18Z,blogpost,"Closet Case | Spring, to the Max"
2009-08-14T12:58:13Z,blogpost,Chic in Review | Tory Burch Goes to Queens?
2009-05-21T16:53:29Z,blogpost,Geek Chic | (Super) Models Meet Comics
2009-09-16T00:00:00Z,article,A Lyrical Escape
2009-09-17T00:00:00Z,multimedia,Backstage Scenes 
2009-09-20T00:00:00Z,article,Birds of a Feather
2009-09-11T00:00:00Z,multimedia,Backstage Scenes 
2009-09-10T00:00:00Z,multimedia,Backstage Scenes 
2009-09-14T00:00:00Z,multimedia,Backstage Scenes 
2009-09-14T17:46:26Z,blogpost,Invitations Only | New York Fashion Week
2009-03-12T00:00:00Z,article,McQueen Leaves Fashion in Ruins
2009-10-08T00:00:00Z,multimedia,On the Street | Spectra 
2009-09-14T00:00:00Z,article,Reinventing American Sportswear
2009-09-30T18:43:56Z,blogpost,It Must Be in the Air
2009-03-05T12:02:33Z,blogpost,"Scorecard | Prada, Versace Et Al."
2009-07-17T14:44:36Z,blogpost,Chic in Review | Karl Who?
2009-03-12T12:06:08Z,blogpost,"Scorecard | Alexander McQueen, Chloé Et Al."
2009-02-19T03:00:31Z,blogpost,Now Pouring | 032C Ever Ever Altar Bar
2009-09-11T14:54:24Z,blogpost,Chic in Review | Lindsey Lohan Gets 'Artistic' at Ungaro
2009-08-21T15:28:26Z,blogpost,Chic in Review | Tyra's Dining Habits
2009-09-28T00:00:00Z,article,First Casualty of the TV Season
2009-09-26T00:12:13Z,blogpost,CW Cancels 'The Beautiful Life'
2009-03-11T11:43:26Z,blogpost,"Scorecard | Chanel, YSL Et Al."
2009-03-05T09:59:56Z,blogpost,Behind the Lines
2009-09-17T15:16:17Z,blogpost,Scorecard | Rodarte Wins!
2009-09-18T12:32:26Z,blogpost,Scorecard | Oscar de la Renta Wins!
2009-09-21T12:01:25Z,blogpost,Scorecard | Calvin Klein Wins!
2009-03-02T13:13:40Z,blogpost,"Scorecard | Jil Sander, Giorgio Armani Et Al."
2009-11-06T17:42:07Z,blogpost,Chic in Review | Agassi Reveals Mullet Toupee
2009-09-28T00:00:03Z,blogpost,Behind the Scenes: A Different Battleground
2009-09-17T00:00:00Z,article,"Putting on the Best Face, Naturally"
2009-03-31T03:00:48Z,blogpost,The Twipping Point
2009-10-07T14:13:52Z,blogpost,Scorecard | Chanel Wins!
2009-02-28T00:00:00Z,article,On NYTimes.com
2009-09-14T15:53:50Z,blogpost,Scorecard | Alexander Wang Wins!
2009-02-16T00:00:00Z,article,Looking Ahead
2009-03-09T00:00:00Z,article,ON NYTIMES.COM
2009-03-13T12:11:15Z,blogpost,"Scorecard | Louis Vuitton, Galliano Et Al."
2009-09-15T16:10:13Z,blogpost,Scorecard | Derek Lam Wins!
2009-02-17T18:40:19Z,blogpost,Armani Donates $1 Million to Schools
2009-09-10T00:00:00Z,article,Looking for a (Long) Leg Up
2009-03-30T00:00:00Z,article,ON NYTIMES.COM
2009-03-10T00:00:00Z,article,ON NYTIMES.COM
2009-09-02T11:36:12Z,blogpost,"Indie Films, Children's Books Coming to iPhone"
2009-09-29T14:00:19Z,blogpost,Scorecard | Missoni Wins!
2009-02-27T00:00:00Z,article,On NYTimes.com
2009-09-03T00:00:00Z,article,Apps For Indie Films and Children's Books
2009-08-20T13:03:10Z,blogpost,Looming In | Taiana Giefer
2009-03-09T11:22:39Z,blogpost,"Scorecard | Lanvin, Dior Et Al."
2009-02-22T00:00:00Z,article,ON NYTIMES.COM
2009-09-03T11:02:48Z,blogpost,"Target Will Recycle Old Ads, Literally"
2009-03-08T00:00:00Z,article,As Hot as the Sun
2009-01-11T00:00:00Z,article,"Jane Birkin, Track by Track"
2009-09-29T11:52:29Z,blogpost,"Now, It's 'Kate Plus Eight'"
2009-02-27T10:56:49Z,blogpost,On the Lookout | Silver Lining Opticians
2009-10-02T13:21:47Z,blogpost,Scorecard | Balenciaga Wins!
